ID,Name,IP,Port,Address,Function,Register,Count,Encoding,BigEndian,Scale,Units,AutoUpdate
OculusGrid,Grid Elec,1.2.3.4,502,8,3,147,2,f,FALSE,1,KW,FALSE
OculusPV,Solar PV,1.2.3.4,502,2,3,147,2,f,FALSE,-1,KW,FALSE
CumulativePV,Pulse Meter,1.2.3.4,502,101,3,4,2,i,TRUE,0.1,KWh,TRUE
